EDIZIONE,ID,REGIONE,TIPO.ORG,IMP.SOC,ONLUS,TEM.ATT,COL.T.PI,COL.T.PA,VOL.ECO,ARCHIVIS,AGRICOLT,ANTROPOL,APP.SOFT,ARCHEOLO,ARCHITET,ARTIPLAS,BENI.CUL,BIBLIOTE,CIBO,CINEMA,COMMERCI,COMMUNIT,CONCORSO,COWORKIN,CROWDFUN,DANZA,DESIGN,DIDATTIC,EDITORIA,ENOGASTR,EVENTI,FABBING,FESTIVAL,FILOSOFI,FORMAZIO,FOTOGRAF,FUNDRAIS,INFANZIA,INTEG.SO,LETTERAT,LINGUE.S,MODA,MUSICA,MUSEI,OPENDATA,PEDAGOGI,PERF.ART,PITTURA,PSICOLOG,RADIO,RESTAURO,RIV.CART,RIV.ONLI,SOCIALNE,SOCIOLOG,SPAZI.SP,SPAZI.ES,SPORT,TEATRO,VIDEO,WEB,TURISMO,ALTRO
cheFare 1 (2012),11,Basilicata,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Presente,Assente,Assente,Presente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),12,Lombardia,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),13,Sicilia,Società cooperativa,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Presente,Presente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Non applicabile
cheFare 1 (2012),14,Toscana,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),15,Non rilevabile,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),16,Lombardia,Associazione di Promozione Sociale/Consorzio di cooperative sociali,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Presente,Non applicabile,Non applicabile,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),17,Toscana,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Presente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),18,Campania,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),19,Lombardia,Società cooperativa,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Presente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),20,Lazio,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Presente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),21,Piemonte e Valle d'Aosta,Fondazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),22,Lombardia,Associazione di Promozione Sociale/Consorzio di cooperative sociali,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),23,Lazio,S.r.l.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Presente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),24,Liguria,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Presente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Non applicabile
cheFare 1 (2012),25,Basilicata,Società cooperativa,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Presente,Assente,Presente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),26,Puglia,Associazione di Promozione Sociale/Consorzio di cooperative sociali,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Presente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),27,Campania,S.a.s.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Presente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),28,Lombardia,Società cooperativa,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),29,Lombardia,Organizzazione di volontariato/O.N.G.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Presente,Assente,Presente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),30,Non rilevabile,Fondazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),31,Lazio,Associazione di Promozione Sociale/Consorzio di cooperative sociali,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),32,Lazio,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),33,Toscana,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),34,Puglia,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Presente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),35,Lazio,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),36,Puglia,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),37,Toscana,Associazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
cheFare 1 (2012),38,Lazio,Associazione culturale,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile
cheFare 1 (2012),39,Lombardia,Altro tipo di organizzazione,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Assente,Presente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Non applicabile
cheFare 1 (2012),40,Lombardia,Organizzazione di volontariato/O.N.G.,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Non applicabile,Assente,Assente,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Non applicabile,Presente,Assente,Assente,Assente,Assente,Non applicabile,Non applicabile,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Non applicabile
