ID,BANDO,PROV,DATA.CRE,FORMA.GIU,ART.B.CU,FILANTRO,INN.CULT,POL.SOC,RIC.ISTR,APP.SOFT,ARCH.BIB,ARCHITET,ARTI.VIS,ARTIGIAN,AUDIOVIS,COMMUNIT,CONCORSO,DESIGN,DID.FORM,EDITORIA,ENOGASTR,EVENTI,FESTIVAL,INT.SOC,PATRIMON,SOC.NET,SPAZI,SPETTAC,SPORT,TURISMO,WEB,ALTRO,AREA.TER,RIL.TER,TARGET,T.GIOVAN,T.ADULTI,T.ANZIAN,T.SETT,T.DONNE,T.MIGRAN,T.DV.AB,T.ALTRO,FIN.PREC,FIN.PR.E,E.RICAVI,E.C.AMM,E.C.PRIV,E.COFIN,E.SPAOLO,E.ALTRO,U.HR,U.SERVIZ,U.BENI,U.ALTRO,E.U.TOT
11,Open 2015,Genova,2015 e oltre,Associazione,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,4.8,7.7,9.6,0,78,0,45.5,22.5,32.1,0,€ 70.000 e oltre
12,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente, ,Nazionale,Nazionale,Generico, , , , , , , , ,No, ,8.4,0,11.2,3.5,76.9,0,42,50.7,4.2,3.1,€ 20.000-29.999
13,Open 2015,Cuneo,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Regionale o interregionale,Regionale o interregionale,Entrambi,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,23.5,0,32.4,0,44.1,0,26.5,55.9,17.6,0,€ 70.000 e oltre
14,Open 2015,Torino,2005-2009,Associazione,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Sì,Fino a € 20.000,51.7,5.4,1.4,9.5,29.9,2,75.9,14.1,9.9,0,€ 70.000 e oltre
15,Open 2015,Altra provincia piemontese,2010-2014,Altro,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,15.9,12.7,23.8,11.1,36.5,0,58.7,38.1,1.6,1.6,€ 60.000-69.999
16,Open 2015,Torino,2010-2014,Cooperativa,Presente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,Sì,€ 20.000-29.999,3.2,21.3,3.2,10.6,61.7,0,66,22.8,10,1.3,€ 40.000-49.999
17,Open 2015,Novara,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,No, ,35.8,0,5.5,0,21.5,37.2,27.9,32.6,16.9,22.7,€ 70.000 e oltre
18,Open 2015,Asti,2015 e oltre,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,0,45,10,5,40,0,70.5,29,.5,0,€ 20.000-29.999
19,Open 2015,Asti,Prima del 2000,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Internazionale,Internazionale,Generico, , , , , , , , ,No, ,0,0,12.7,0,83.1,4.2,54.4,17.7,26.6,1.3,€ 70.000 e oltre
20,Open 2015,Torino,2015 e oltre,Associazione,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Nazionale,Generico, , , , , , , , ,No, ,6.1,0,32.5,0,61.3,0,29.4,70.6,0,0,Fino a € 20.000
21,Open 2015,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,0,0,25.4,0,73.9,.7,50.9,42.7,6.4,0,€ 50.000-59.999
22,Open 2015,Torino,2000-2004,Associazione,Presente,Presente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Regionale o interregionale,Internazionale,Specifico,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,No, ,0,23.1,53.8,0,23.1,0,52.3,47.7,0,0,€ 60.000-69.999
23,Open 2015,Genova,2015 e oltre,"Istruzione, università e ricerca",Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,0,10,10.3,79.7,0,76.7,14.7,2.3,6.3,€ 70.000 e oltre
24,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,No, ,7.4,0,18.5,0,74.1,0,35.2,29.6,5.6,29.6,€ 20.000-29.999
25,Open 2015,Alessandria,2000-2004,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Nazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,0,18.2,81.8,0,86.3,13.7,0,0,€ 20.000-29.999
26,Open 2015,Torino,2015 e oltre,Associazione,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Internazionale,Specifico,Assente,Assente,Assente,Assente,Assente,Presente,Assente, ,Sì,€ 70.000 e oltre,0,0,6.2,10.9,82.8,0,67.9,24.3,0,7.8,€ 30.000-39.999
27,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Assente,Assente,Assente,Assente,Presente,Assente,Assente, ,No, ,0,0,5,15,80,0,37.1,33.2,3.9,25.7,€ 20.000-29.999
28,Open 2015,Cuneo,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Nazionale,Nazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Sì,€ 30.000-39.999,0,0,0,20,80,0,20,70.7,6.7,2.7,€ 30.000-39.999
29,Open 2015,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,3.3,3.3,2.1,8.3,83,0,35.9,57.5,2.1,4.6,€ 20.000-29.999
30,Open 2015,Altra provincia piemontese,2015 e oltre,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Presente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,3.3,5.3,6.9,5,79.4,0,4.2,79.4,13.6,2.8,€ 30.000-39.999
31,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente, ,Nazionale,Nazionale,Generico, , , , , , , , ,No, ,0,61.3,0,0,38.7,0,30.1,65,4.9,0,€ 70.000 e oltre
32,Open 2015,Torino,2005-2009,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Regionale o interregionale,Nazionale,Generico, , , , , , , , ,Sì,€ 40.000-49.999,0,44.7,27.7,0,27.7,0,44.9,29.6,25.5,0,€ 40.000-49.999
33,Open 2015,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Internazionale,Internazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,27,2.7,27,0,43.2,0,43.2,27,16.2,13.5,€ 70.000 e oltre
34,Open 2015,Asti,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Internazionale,Generico, , , , , , , , ,No, ,0,16.7,33.3,0,50,0,0,56.7,43.3,0,€ 30.000-39.999
35,Open 2015,Alessandria,2010-2014,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Presente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,7,15.1,7,70.9,0,39.4,30.4,25.1,5,€ 70.000 e oltre
36,Open 2015,Genova,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,19.6,19.6,11.7,0,49.1,0,69.7,11.4,18.9,0,€ 50.000-59.999
37,Open 2015,Torino,2005-2009,Altro,Presente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Assente,Assente,Assente,Assente,Presente,Assente,Assente, ,No, ,9.1,22.7,6.8,0,54.5,6.8,50,25,6.8,18.2,€ 20.000-29.999
38,Open 2015,Torino,2015 e oltre,Fondazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,3.8,19.2,0,0,76.9,0,60,28.4,11.5,0,€ 20.000-29.999
39,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,11.1,11.1,11.1,0,66.7,0,17.8,60,22.2,0,€ 40.000-49.999
40,Open 2015,Torino,2005-2009,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Nazionale,Nazionale,Generico, , , , , , , , ,No, ,2.4,25.7,4.8,2.9,64.3,0,88.1,9.5,2.4,0,€ 40.000-49.999
41,Open 2015,Altra provincia piemontese,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,0,0,0,25,75,0,82.4,10.9,0,6.7,€ 60.000-69.999
42,Open 2015,Cuneo,2015 e oltre,Associazione,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Regionale o interregionale,Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,2.4,23.8,16.7,0,57.1,0,0,83.3,9.5,7.1,€ 20.000-29.999
43,Open 2015,Altra provincia ligure,2010-2014,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Nazionale,Nazionale,Generico, , , , , , , , ,No, ,31.2,6.2,18.8,12.5,31.2,0,37.5,43.8,0,18.8,Fino a € 20.000
44,Open 2015,Torino,2005-2009,Associazione,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Sì,Fino a € 20.000,5.7,0,0,0,94.3,0,69.8,30.2,0,0,€ 50.000-59.999
45,Open 2015,Torino,2005-2009,Associazione,Presente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Nazionale,Specifico,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,0,0,25.9,0,74.1,0,36.7,49.2,14.1,0,€ 60.000-69.999
46,Open 2015,Genova,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Regionale o interregionale,Regionale o interregionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,2.4,8.4,4.8,19.3,65.1,0,57.8,15.7,10.8,15.7,€ 40.000-49.999
47,Open 2015,Torino,2015 e oltre,Altro,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,6.7,0,0,10,83.3,0,16.7,58.3,25,0,Fino a € 20.000
48,Open 2015,Torino,2005-2009,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Nazionale,Entrambi,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,No, ,4.4,44.4,11.1,6.7,33.3,0,33.3,48.9,17.8,0,€ 40.000-49.999
49,Open 2015,Genova,2015 e oltre,Ente locale,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente, ,Regionale o interregionale,Nazionale,Generico, , , , , , , , ,No, ,0,0,8.3,6.7,85,0,6.7,90,3.3,0,€ 60.000-69.999
50,Open 2015,Torino,2010-2014,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Entrambi,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,4.4,9.5,21.7,0,56.8,7.6,50.4,38.3,7.6,3.8,€ 20.000-29.999
51,Open 2015,Torino,2010-2014,Cooperativa,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,15.7,3.6,10.4,70.3,0,65.2,19,15.8,0,€ 50.000-59.999
52,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Locale (comunale o provinciale),Locale (comunale o provinciale),Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,0,14.3,0,67.7,18,12.4,0,87.6,0,Fino a € 20.000
53,Open 2015,Torino,2015 e oltre,Associazione,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente, ,Regionale o interregionale,Nazionale,Generico, , , , , , , , ,No, ,4.5,11.2,2.5,58.6,20.2,3.1,14.4,58.4,11.2,15.9,€ 70.000 e oltre
54,Open 2015,Alessandria,2005-2009,Altro,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Presente,Assente,Presente,Assente,Presente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,Sì,Fino a € 20.000,0,0,4.4,0,74.3,21.4,82.1,8.7,4.8,4.4,€ 20.000-29.999
55,Open 2015,Torino,2000-2004,Associazione,Presente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,Regionale o interregionale,Regionale o interregionale,Generico, , , , , , , , ,No, ,0,0,0,25.2,74.8,0,65.4,34.6,0,0,€ 50.000-59.999
56,Open 2015,Genova,2015 e oltre,Cooperativa,Assente,Assente,Presente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente, ,Locale (comunale o provinciale),Locale (comunale o provinciale),Generico, , , , , , , , ,No, ,7.7,0,0,23.1,69.2,0,39.8,16.3,2.3,41.5,€ 60.000-69.999
57,Open 2015,Altra provincia italiana,Prima del 2000,Altro,Assente,Assente,Presente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Nazionale,Nazionale,Specifico,Presente,Assente,Assente,Assente,Assente,Assente,Assente, ,No, ,0,19.9,2,68.2,9.9,0,8.6,55.7,0,35.8,€ 70.000 e oltre
58,Open 2015,Asti,2015 e oltre,"Istruzione, università e ricerca",Assente,Assente,Presente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Presente,Assente,Assente,Assente,Assente,Presente,Assente, ,Locale (comunale o provinciale),Regionale o interregionale,Generico, , , , , , , , ,No, ,0,0,0,40.1,59.9,0,70.4,9,13.7,6.9,€ 70.000 e oltre
